Rank,Name,Job Title,Pay
1,Stephen Gilmore,"Chief Investment Officer, Public Employees' Retirement System","$740,313 "
2,Marcie Frost,Executive Officer/Public Employees' Retirement System,"$619,440 "
3,Christopher Ailman,"Chief Investment Officer, California State Teachers' Retirement System","$612,000 "
4,Vito Imbasciani,Chair of The Icoc Board,"$603,672 "
5,Vernon Steiner,"President and Ceo, State Compensation Insurance Fund","$597,960 "
6,Jonathan Thomas,President,"$586,080 "
7,Joseph Bick,Receiver's Medical Executive (Safety),"$584,688 "
8,Scott Chan,"Chief Investment Officer, California State Teachers' Retirement System","$571,104 "
9,Kevin Myers,"Statewide Dental Director, C.E.A., Inmate Dental Services Program, Division of Correctional Health Care Services","$565,680 "
10,Renee Kanan,Receiver's Medical Executive (Safety),"$556,848 "
11,Emmanuel Conanan,Receiver's Medical Executive (Safety),"$553,188 "
12,Manjula Bobbala,Receiver's Medical Executive (Safety),"$553,188 "
13,Inderpal Bal,Receiver's Medical Executive (Safety),"$553,188 "
14,Steven Heyne,Receiver's Medical Executive (Safety),"$553,188 "
15,Ogonna Onyeje,Receiver's Medical Executive (Safety),"$553,188 "
16,Steven Roberts,Receiver's Medical Executive (Safety),"$553,188 "
17,Reetika Kumar,Receiver's Medical Executive (Safety),"$553,188 "
18,Godwin Ugwueze,Receiver's Medical Executive (Safety),"$553,188 "
19,Anise Adams,Receiver's Medical Executive (Safety),"$553,188 "
20,Robert Chapnick,Receiver's Medical Executive (Safety),"$553,188 "
21,Ian Choudri,"Executive Director, High Speed Rail Authority","$551,040 "
22,Donald Moulds,Chief Health Director,"$544,071 "
23,Majid Soleimani,Receiver's Medical Executive (Safety),"$542,484 "
24,Ikwinder Singh,Receiver's Medical Executive (Safety),"$542,484 "
25,Daniel Bienvenue,"Deputy Chief Investment Officer, California State Teachers' Retirement System","$531,256 "
26,Meet Boparai,Receiver's Medical Executive (Safety),"$530,328 "
27,Heidi Bauer,Receiver's Medical Executive (Safety),"$530,328 "
28,Jeffrey Carrick,Receiver's Medical Executive (Safety),"$530,328 "
29,John Dunlap,Receiver's Medical Executive (Safety),"$530,328 "
30,Donna Kalauokalani,Receiver's Medical Executive (Safety),"$530,328 "
31,Grace Song,Receiver's Medical Executive (Safety),"$530,328 "
32,Leslie Taylor,Receiver's Medical Executive (Safety),"$530,328 "
33,Jasdeep Bal,Receiver's Medical Executive (Safety),"$530,328 "
34,Elizabeth Dos Santos Chen,Receiver's Medical Executive (Safety),"$530,328 "
35,Felix Igbinosa,Receiver's Medical Executive (Safety),"$530,328 "
36,Richard Law,"Chief Operating Officer, State Compensation Insurance Fund","$530,256 "
37,June Kim,"Deputy Chief Investment Officer, California State Teachers' Retirement System","$530,000 "
38,Alison Pachynski,Receiver's Medical Executive (Safety),"$529,140 "
39,Sonya Christian,Chancellor,"$519,840 "
40,Daniel Booth,"Deputy Chief Investment Officer, California State Teachers' Retirement System","$515,000 "
41,Anton Orlich,"Managing Investment Director, Public Employees' Retirement System","$515,000 "
42,Amardeep Bains,"Regional Dental Director, Cea","$513,108 "
43,Matthew Milnes,"Regional Dental Director, Cea","$513,108 "
44,James Gunn,"Managing Investment Director, Public Employees' Retirement System","$508,167 "
45,Amar Mehta,"Deputy Director, Statewide Mental Health Program","$507,012 "
46,Michael Arca,Receiver's Medical Executive (Safety),"$505,080 "
47,Michele Ditomas,Receiver's Medical Executive (Safety),"$505,080 "
48,Sherry Lopez,Receiver's Medical Executive (Safety),"$505,080 "
49,Cassandra Lichnock,Chief Executive Officer/State Teachers' Retirement,"$502,536 "
50,Mathew Kulangara,"Chief Information Officer, State Compensation Insurance Fund","$500,004 "
51,Jeffrey Lissy,"Regional Dental Director, Cea","$498,168 "
52,Arnold Phillips,"Managing Investment Director, Public Employees' Retirement System","$496,170 "
53,Jessica Altman,"Executive Director, California Health Benefit Exchange","$496,128 "
54,Stephen Hunckler,"Chief Claims Operations Officer, State Compensation Insurance Fund","$490,464 "
55,Margaret Lariviere,"General Counsel, State Compensation Insurance Fund","$490,464 "
56,Gail Fernandez,Receiver's Clinical Executive (Safety),"$490,092 "
57,Toni Martello,Receiver's Clinical Executive (Safety),"$486,324 "
58,Seth Judd,"Medical Director, Napa State Hospital","$485,292 "
59,Peter Cashion,"Managing Investment Director, Public Employees' Retirement System","$481,312 "
60,Philip Abeldt,"Chief Dentist, Correctional Facility","$481,248 "
61,Bradley Archibald,"Chief Dentist, Correctional Facility","$481,248 "
62,Muhammad Farooq,Receiver's Medical Executive (Safety),"$481,032 "
63,Kenneth Maxwell,Receiver's Medical Executive (Safety),"$481,032 "
64,Johannes Haar,Receiver's Medical Executive (Safety),"$481,032 "
65,Martin Kuersten,Receiver's Medical Executive (Safety),"$481,032 "
66,Ashraf Youssef,Receiver's Medical Executive (Safety),"$481,032 "
67,Ajmel Sangha,Receiver's Medical Executive (Safety),"$481,032 "
68,Steven Posson,Receiver's Medical Executive (Safety),"$481,032 "
69,Oliver Lau,Receiver's Medical Executive (Safety),"$481,032 "
70,Kevin Rueter,Receiver's Medical Executive (Safety),"$481,032 "
71,Kashif Ali,Receiver's Medical Executive (Safety),"$481,032 "
72,Amandeep Johal,Receiver's Medical Executive (Safety),"$481,032 "
73,Sarah Corr,"Managing Investment Director, Public Employees' Retirement System","$472,713 "
74,Harminder Longia,Receiver's Medical Executive (Safety),"$471,720 "
