Name,Floors,Year,Height (ft),City
One World Trade Center,104,2013,1776,New York City
Central Park Tower,98,2020,1550,New York City
Willis Tower,110,1974,1450,Chicago
111 West 57th Street,84,2021,1428,New York City
One Vanderbilt,93,2019,1401,New York City
432 Park Avenue,85,2014,1396,New York City
Trump International Hotel and Tower,98,2008,1388,Chicago
270 Park Avenue,60,2025,1388,New York City
30 Hudson Yards,103,2019,1270,New York City
Empire State Building,102,1930,1250,New York City
Bank of America Tower,55,2009,1200,New York City
St. Regis Chicago,101,2019,1198,Chicago
Aon Center,83,1972,1136,Chicago
875 North Michigan Avenue,100,1968,1128,Chicago
Comcast Technology Center,60,2017,1121,Philadelphia
Wilshire Grand Center,73,2016,1100,Los Angeles
Salesforce Tower,61,2017,1070,San Francisco
53W53,77,2019,1050,New York City
Chrysler Building,77,1932,1046,New York City
The New York Times Building,52,2006,1046,New York City
The Brooklyn Tower,74,2021,1035,New York City
The Spiral,66,2022,1031,New York City
Waterline*,74,2026,1025,Austin
Bank of America Plaza,55,1991,1023,Atlanta
U.S. Bank Tower,73,1989,1018,Los Angeles
Franklin Center,62,1989,1007,Chicago
One57,90,2014,1004,New York City
JPMorgan Chase Tower,79,1982,1002,Houston
520 Fifth Avenue*,76,2026,1001,New York City
35 Hudson Yards,72,2019,1000,New York City
1 Manhattan West,69,2022,996,New York City
Two Prudential Plaza,69,1989,995,Chicago
Wells Fargo Plaza,75,1982,992,Houston
50 Hudson Yards,58,2022,981,New York City
4 World Trade Center,78,2013,978,New York City
One Chicago East Tower,78,2021,974,Chicago
Comcast Center,60,2008,971,Philadelphia
311 South Wacker Drive,67,1989,961,Chicago
70 Pine Street,70,1932,952,New York City
220 Central Park South,67,2020,950,New York City
Key Tower,57,1991,948,Cleveland
One Liberty Place,61,1986,945,Philadelphia
Cipriani Residences Miami,80,2028,940,Miami
2 Manhattan West,58,2021,935,New York City
Columbia Center,76,1985,933,Seattle
40 Wall Street,70,1929,927,New York City
Four Seasons Hotel New York Downtown,67,2016,926,New York City
Bank of America Plaza,72,1985,921,Dallas
Citigroup Center,59,1976,915,New York City
15 Hudson Yards,70,2018,914,New York City
125 Greenwich Street*,72,2022,912,New York City
Williams Tower,66,1982,901,Houston
NEMA Chicago,76,2019,896,
99 Hudson Street,79,2019,889,Jersey City
Renaissance Tower,58,1974,886,Dallas
10 Hudson Yards,52,2016,878,New York City
400 Lake Shore Drive North Tower,72,2027,877,Chicago
Sixth and Guadalupe,66,2023,875,Austin
Truist Plaza,60,1991,871,Atlanta
Bank of America Corporate Center,62,1991,871,Charlotte
8 Spruce Street,76,2011,870,New York City
900 North Michigan,66,1988,869,Chicago
Panorama Tower,85,2017,868,Miami
Trump World Tower,74,2001,861,New York City
425 Park Avenue,47,2018,860,New York City
262 Fifth Avenue,56,2024,860,New York
Water Tower Place,74,1976,859,Chicago
Aqua,87,2010,859,Chicago
Aon Center,62,1972,858,Los Angeles
Transamerica Pyramid,48,1972,853,San Francisco
30 Rockefeller Plaza,70,1932,850,New York City
Chase Tower,61,1969,850,Chicago
Two Liberty Place,58,1989,848,Philadelphia
One Manhattan Square,73,2019,847,New York City
Rainier Square Tower,58,2020,847,
Sutton 58,67,2022,847,New York
Park Tower,70,1999,844,Chicago
Devon Energy Center,52,2012,844,Oklahoma City
One Bennett Park,67,2019,844,Chicago
U.S. Steel Tower,64,1969,841,Pittsburgh
Salesforce Tower Chicago,60,2023,835,Chicago
56 Leonard Street,60,2015,821,New York City
One Atlantic Center,50,1986,820,Atlanta
Aston Martin Residences,66,2022,821,Miami
110 North Wacker,58,2021,817,Chicago
CitySpire Center,77,1986,814,New York City
28 Liberty Street,65,1961,813,New York City
The Orchard,69,2024,811,New York City
4 Times Square,50,1999,809,New York City
MetLife Building,59,1962,808,New York City
731 Lexington Avenue,57,2004,806,New York City
1000M,73,2023,805,Chicago
126 Madison Avenue,56,2022,805,New York City
The Centrale,64,2019,803,New York City
181 Fremont,66,2018,802,San Francisco
Woolworth Building,58,1913,792,New York City
IDS Center,55,1971,792,Minneapolis
BNY Mellon Center,54,1989,791,Philadelphia
200 Clarendon Street,62,1971,790,Boston
Four Seasons Hotel Miami,64,2002,789,Miami
111 Murray Street,60,2018,788,New York City
