unique_identifier,parcel_number,building_name,building_address,postal_code,floor_area,category,property_type,pim_link,year_built,energy_audit_due_date,energy_audit_status,benchmark_year,energy_star_score,site_eui,source_eui,percent_better_than_national_median_site_eui,weather_normalized_site_eui,weather_normalized_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,electricity_use_grid_purchase,natural_gas_use,district_steam_use,site_energy_use,benchmark_status,reason_for_exemption,point,longitude,latitude,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
0317/006_2025,0317/006,438 O'FARRELL ST,438 O'FARRELL ST,94102,10500,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0317/006,1910,4/1/2029,Upcoming,2025,84,47.6,85.6,-0.287,46.8,83.4,27.42,2.61,62617.8,286356,,500007.9,2025 - Complied,,POINT (-122.412094385 37.786093873),-122.4120944,37.78609387,Tenderloin,5,9/11/2026 11:16,9/11/2026 17:07
0305/013_2018,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2018,,,,,,,,,,,,,2018 - Violation - Insufficient Data,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2021,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2021,,71.4,146.5,0.098,71.4,146.5,155.5,4.1,454382.8,1160613,,2710967.2,2021 - Complied,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2016,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2016,57,77.1,158.7,-0.065,81.5,163.3,179.9,5.3,,,,,2016 - Complied,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2020,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2020,,66.9,143.2,0.07,66.9,143.2,155.6,4.1,464133.5,953775.9,,2537399.5,2020 - Complied,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2023,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2023,19,85.4,174.1,0.304,85.2,173.4,204.9,5.4,536347.5,1412787,,3242804.8,2023 - Complied,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2017,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2017,44,82.7,180.7,0.048,82.7,180.7,182.1,5.4,,,,,2017 - Complied,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2014,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2014,,,,,,,,,,,,,2014 - Violation - Did Not Report,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2011,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2011,,,,,,,,,,,,,2011 - Violation - Insufficient Data,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2025,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2025,31,78.1,157.2,0.164,78.9,159.4,163.96,4.32,478063.6,1331596,,2962749,2025 - Complied,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2019,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2019,18,90.4,184.1,0.332,90.1,183.3,191.2,5.7,501979.4,1328930,,3041683.9,2019 - Complied,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2022,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2022,28,76.9,161.7,0.197,77.2,162.5,182.1,4.8,514299.5,1164599,,2919389.1,2022 - Complied,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2015,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2015,,,,,,,,,,,,,2015 - Violation - Did Not Report,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2012,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2012,,,,,,,,,,,,,2012 - Violation - Did Not Report,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2024,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2024,30,80.2,159.2,0.177,80.2,159.2,183.27,4.83,476087.7,1421011,,3045422.4,2024 - Complied,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0305/013_2013,0305/013,580 GEARY ST,580 GEARY ST,94102,37950,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0305/013,1913,4/1/2029,Upcoming,2013,,,,,,,,,,,,,2013 - Violation - Did Not Report,,POINT (-122.41298001 37.786958611),-122.41298,37.78695861,Tenderloin,3,9/11/2026 11:16,9/11/2026 17:07
0742/002_2018,0742/002,"625 Polk Street, LLC",625 POLK ST,94102,93103,College/University,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0742/002,1912,4/1/2031,Upcoming,2018,,88,147.7,-0.182,87.6,147.2,486.3,5.2,861300.1,5258474.1,,8197230.4,2018 - Complied,,POINT (-122.419395674 37.782406736),-122.4193957,37.78240674,Tenderloin,5,9/11/2026 11:16,9/11/2026 17:07
